Cruise,Lat,Lon,DateTime,Depth,Cryptos,Coccos,Syn,Pro,Pico,Nano
AMT22,41.6542,-21.2649,15/10/2012 13:00,1.3,9,10,4178,182146,2582,926
AMT22,39.6543,-22.5096,16/10/2012 04:42,2.2,3,11,6426,243651,1897,332
AMT22,38.5561,-23.0963,16/10/2012 13:00,3.1,3,10,3929,167318,822,150
AMT22,36.6845,-24.4696,17/10/2012 04:25,2,3,7,3182,194670,1121,208
AMT22,35.8472,-25.5944,17/10/2012 12:59,3.6,4,8,2345,163142,897,247
AMT22,34.3807,-27.6353,18/10/2012 04:28,2.6,0,11,3507,173913,986,262
AMT22,33.562,-28.6905,18/10/2012 12:59,1.7,4,9,2123,131508,998,263
AMT22,32.0224,-30.7364,19/10/2012 04:55,1,4,14,2869,149146,827,279
AMT22,31.1062,-31.9071,19/10/2012 13:56,2,0,4,2522,138410,950,228
AMT22,29.8077,-33.55,20/10/2012 04:55,1.7,4,8,1621,119386,885,158
AMT22,28.9364,-34.6717,20/10/2012 13:55,1.1,0,11,1398,73414,699,200
AMT22,27.6147,-36.347,21/10/2012 04:55,2.1,5,7,2338,82320,886,259
AMT22,26.7173,-37.4713,21/10/2012 13:58,1.4,5,1,3999,69473,767,176
AMT22,25.5004,-38.9826,22/10/2012 04:54,1.3,7,13,5010,58669,876,285
AMT22,24.596,-40.0752,22/10/2012 13:59,1.5,9,12,5445,64068,772,298
AMT22,23.164,-40.6037,23/10/2012 04:54,2.2,6,13,3928,85091,869,219
AMT22,22.0755,-39.7985,23/10/2012 14:00,1.5,1,11,1587,124477,837,370
AMT22,20.5659,-38.5923,24/10/2012 04:49,1.4,9,12,1660,144562,796,267
AMT22,19.4442,-37.7725,24/10/2012 14:00,1.2,7,21,1856,143400,796,216
AMT22,17.712,-36.4286,25/10/2012 04:56,1.5,9,7,2264,232714,878,357
AMT22,16.6435,-35.6572,25/10/2012 13:58,1.9,4,9,2603,241167,937,232
AMT22,15.062,-34.4472,26/10/2012 04:52,1.7,7,21,3917,328276,1070,306
AMT22,13.9563,-33.6673,26/10/2012 13:59,2.3,2,10,11368,261535,1509,220
AMT22,12.2201,-32.3604,27/10/2012 04:53,1.3,10,9,26217,260275,1431,148
AMT22,11.1153,-31.5772,27/10/2012 13:58,1.3,3,3,15658,201695,1031,185
AMT22,9.4523,-30.3271,28/10/2012 04:52,1.7,14,9,32487,211774,1451,179
AMT22,8.2954,-29.5267,28/10/2012 14:00,1.3,8,8,19186,181207,996,265
AMT22,6.6201,-28.341,29/10/2012 04:54,4.3,8,15,21873,320611,1026,181
AMT22,5.5461,-27.5396,29/10/2012 14:00,2.1,18,8,7739,246653,1203,286
AMT22,4.0302,-26.4679,30/10/2012 04:54,1.6,10,9,8824,270784,1585,463
AMT22,2.921,-25.6605,30/10/2012 13:58,1.9,3,13,4332,265208,1181,320
AMT22,1.1086,-24.9815,31/10/2012 04:52,1.7,17,14,4456,269228,1809,467
AMT22,-1.8829,-24.956,11-Jan-2012 05:00:00,1.4,9,1,4348,326751,2515,486
AMT22,-2.9292,-24.9837,11-Jan-2012 13:59:00,1.6,4,22,6833,263902,1895,440
AMT22,-4.6216,-25.0035,11-Feb-2012 04:50:00,1.4,4,8,5678,313970,1916,317
AMT22,-5.8294,-25.0298,11-Feb-2012 13:55:00,1.4,16,25,17736,396431,2420,317
AMT22,-8.0891,-25.0143,11-Mar-2012 04:52:00,1.8,NaN,NaN,2113,214031,NaN,NaN
AMT22,-9.5135,-25.0535,11-Mar-2012 13:54:00,1.6,4,14,1260,154884,1036,380
AMT22,-11.6225,-25.0202,11-Apr-2012 04:47:00,1.9,4,10,1399,211993,1053,236
AMT22,-13.0724,-25.0661,11-Apr-2012 13:56:00,1.4,6,6,1507,99881,803,198
AMT22,-15.2863,-25.0516,11-May-2012 04:46:00,5.1,0,10,1228,99974,828,194
AMT22,-16.761,-25.0979,11-May-2012 14:00:00,1.6,8,5,1296,73934,842,185
AMT22,-18.5161,-25.1012,11-Jun-2012 04:55:00,0.6,8,9,1281,49258,704,407
AMT22,-18.5298,-25.1015,11-Jul-2012 14:37:00,1,9,1,1324,53393,872,178
AMT22,-20.1212,-24.4969,11-Aug-2012 04:47:00,1.4,7,9,2774,82856,828,441
AMT22,-21.2537,-24.8467,11-Aug-2012 13:59:00,1.8,1,10,3013,67774,983,310
AMT22,-22.9642,-24.9795,11-Sep-2012 04:40:00,1.3,23,8,3122,95464,1200,208
AMT22,-24.1257,-25.004,11-Sep-2012 13:55:00,2.3,4,14,4098,74605,1122,201
AMT22,-25.7498,-24.9898,11-Oct-2012 04:38:00,1.5,10,1,2972,100240,1960,330
AMT22,-26.9564,-25.008,11-Oct-2012 13:57:00,0.5,3,12,2933,88461,1372,373
AMT22,-28.3893,-25.4756,11-Nov-2012 04:45:00,1.1,5,13,3878,114424,1513,483
AMT22,-29.1169,-26.5081,11-Nov-2012 13:57:00,1.8,5,9,2734,67522,1274,303
AMT22,-30.2016,-27.9187,11-Dec-2012 04:41:00,1.1,0,7,4580,104309,1266,300
AMT22,-30.9691,-29.053,11-Dec-2012 13:57:00,1.5,1,3,2620,80866,1424,316
AMT22,-34.1456,-33.4936,14/11/2012 04:55,4.8,51,32,17329,32077,6434,1477
AMT22,-34.8577,-34.5286,14/11/2012 13:55,4,30,39,38811,NaN,3829,937
AMT22,-36.0693,-36.2508,15/11/2012 04:56,2.2,367,73,80116,3687,12067,2083
AMT22,-36.8373,-37.439,15/11/2012 13:55,1.4,38,10,15123,3598,1409,254
AMT22,-38.1057,-39.3287,16/11/2012 04:53,1,262,34,150015,944,8176,2218
AMT22,-38.9079,-40.5648,16/11/2012 13:56,0.5,321,281,97105,1019,11395,2746
AMT22,-40.1045,-42.3831,17/11/2012 04:50,2.2,452,38,198410,931,10915,3379
AMT22,-40.9066,-43.6494,17/11/2012 13:55,1.1,393,18,190170,0,20368,7162
AMT22,-42.1375,-45.6241,18/11/2012 04:52,1.2,98,8,63603,0,45187,7990
AMT22,-43.0452,-47.0775,18/11/2012 14:57,1.8,89,5,38576,0,31001,4395
AMT22,-43.9228,-48.567,19/11/2012 04:50,1.7,37,4,30565,0,50256,5726
AMT22,-44.6761,-49.7596,19/11/2012 14:57,0.8,419,42,263837,0,31871,4592
AMT22,-45.5031,-51.3228,20/11/2012 04:54,1.6,549,112,157934,0,59118,3913
AMT24,49.829,-4.7564,25/09/2014 09:59,1.5,357,83,137442,0,17146,3617
AMT24,47.8678,-7.9372,26/09/2014 03:17,1.2,47,72,104040,45017,13048,647
AMT24,47.1864,-8.8176,26/09/2014 10:09,2,6,13,8509,157701,3801,1079
AMT24,47.5672,-8.5049,27/09/2014 12:06,1.7,14,12,7256,165933,3625,1565
AMT24,46.3876,-10.9831,28/09/2014 04:27,1.4,11,23,12173,107337,4847,1525
AMT24,45.502,-12.4895,28/09/2014 13:02,1.9,7,28,6178,66966,3470,903
AMT24,44.0935,-14.9208,29/09/2014 04:11,1.4,15,4,2262,198283,3199,728
AMT24,43.1703,-16.4268,29/09/2014 13:05,2.7,5,8,2063,158737,2670,919
